State,District,tier,positive_1,positive_2,positive_3,negative_1,negative_2,negative_3
Gujarat,Panch Mahals,Tier IV - Improvement Potential Districts,poverty_log (0.40),scst_pct (0.28),avg_days_per_hh (0.24),women_pct (-0.31),night_lights_log (-0.03),agri_worker_pct (0.02)
Gujarat,Patan,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.37),scst_pct (0.31),persondays_per_hh (0.30),women_pct (-0.25),female_literacy_pct (-0.12),night_lights_log (-0.08)
Gujarat,Porbandar,Tier I - High Impact Districts,persondays_per_hh (0.75),avg_days_per_hh (0.68),female_literacy_pct (0.56),women_pct (-0.25),scst_pct (-0.18),wage_timeliness_pct (-0.11)
Gujarat,Rajkot,Tier IV - Improvement Potential Districts,scst_pct (0.49),avg_days_per_hh (0.43),persondays_per_hh (0.32),poverty_log (-0.14),female_literacy_pct (-0.12),agri_worker_pct (-0.10)
Gujarat,Sabar Kantha,Tier II - Strong Performing Districts,avg_days_per_hh (0.55),women_pct (0.55),poverty_log (0.40),female_literacy_pct (-0.02),wage_timeliness_pct (0.02),persondays_per_hh (0.03)
Gujarat,Surat,Tier II - Strong Performing Districts,avg_days_per_hh (1.03),persondays_per_hh (0.57),women_pct (0.35),night_lights_log (-0.14),female_literacy_pct (-0.06),agri_worker_pct (0.01)
Gujarat,Surendranagar,Tier I - High Impact Districts,persondays_per_hh (0.85),avg_days_per_hh (0.78),women_pct (0.46),scst_pct (-0.15),agri_worker_pct (-0.11),night_lights_log (-0.03)
Gujarat,Tapi,Tier IV - Improvement Potential Districts,women_pct (0.56),scst_pct (0.50),agri_worker_pct (0.42),persondays_per_hh (-0.39),avg_days_per_hh (-0.31),night_lights_log (0.03)
Gujarat,Vadodara,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.36),scst_pct (0.32),persondays_per_hh (0.28),female_literacy_pct (-0.11),agri_worker_pct (-0.10),poverty_log (-0.08)
Gujarat,Valsad,Tier II - Strong Performing Districts,avg_days_per_hh (0.89),persondays_per_hh (0.48),poverty_log (0.20),women_pct (-1.15),scst_pct (-0.05),night_lights_log (-0.01)
Haryana,Ambala,Tier II - Strong Performing Districts,avg_days_per_hh (0.79),women_pct (0.47),persondays_per_hh (0.31),night_lights_log (-0.16),poverty_log (-0.09),female_literacy_pct (-0.02)
Haryana,Bhiwani,Tier II - Strong Performing Districts,avg_days_per_hh (1.01),persondays_per_hh (0.58),scst_pct (0.36),women_pct (-0.40),night_lights_log (-0.06),female_literacy_pct (-0.02)
Haryana,Faridabad,Tier II - Strong Performing Districts,avg_days_per_hh (0.61),women_pct (0.37),persondays_per_hh (0.25),agri_worker_pct (-0.26),night_lights_log (-0.22),poverty_log (-0.19)
Haryana,Fatehabad,Tier III - Inclusive Development Districts,avg_days_per_hh (1.15),persondays_per_hh (0.29),wage_timeliness_pct (0.19),female_literacy_pct (0.01),scst_pct (0.03),women_pct (0.09)
Haryana,Gurugram,Tier I - High Impact Districts,poverty_log (0.62),agri_worker_pct (0.49),night_lights_log (0.24),avg_days_per_hh (-0.26),wage_timeliness_pct (-0.07),persondays_per_hh (-0.04)
Haryana,Hisar,Tier III - Inclusive Development Districts,avg_days_per_hh (1.20),poverty_log (0.56),persondays_per_hh (0.34),women_pct (-0.53),scst_pct (0.04),female_literacy_pct (0.04)
Haryana,Jhajjar,Tier II - Strong Performing Districts,avg_days_per_hh (0.72),women_pct (0.33),persondays_per_hh (0.23),poverty_log (-0.61),agri_worker_pct (-0.22),night_lights_log (-0.11)
Haryana,Jind,Tier II - Strong Performing Districts,avg_days_per_hh (0.98),persondays_per_hh (0.57),women_pct (0.46),female_literacy_pct (-0.07),night_lights_log (-0.04),agri_worker_pct (0.03)
Haryana,Kaithal,Tier III - Inclusive Development Districts,women_pct (2.92),avg_days_per_hh (0.82),night_lights_log (0.28),wage_timeliness_pct (-0.01),scst_pct (0.05),female_literacy_pct (0.06)
Haryana,Karnal,Tier II - Strong Performing Districts,avg_days_per_hh (0.95),persondays_per_hh (0.49),scst_pct (0.29),women_pct (-1.15),female_literacy_pct (-0.03),wage_timeliness_pct (0.07)
Haryana,Kurukshetra,Tier II - Strong Performing Districts,avg_days_per_hh (0.97),persondays_per_hh (0.57),scst_pct (0.35),women_pct (-0.37),female_literacy_pct (-0.02),night_lights_log (-0.01)
Haryana,Mahendragarh,Tier IV - Improvement Potential Districts,agri_worker_pct (0.33),night_lights_log (0.12),wage_timeliness_pct (0.08),female_literacy_pct (-0.11),poverty_log (-0.04),persondays_per_hh (0.01)
Haryana,Nuh,Tier I - High Impact Districts,persondays_per_hh (0.84),avg_days_per_hh (0.75),women_pct (0.51),scst_pct (-0.64),female_literacy_pct (-0.05),poverty_log (0.00)
Haryana,Palwal,Tier I - High Impact Districts,persondays_per_hh (0.92),avg_days_per_hh (0.81),women_pct (0.43),female_literacy_pct (-0.22),night_lights_log (0.04),scst_pct (0.06)
Haryana,Panchkula,Tier II - Strong Performing Districts,avg_days_per_hh (1.00),persondays_per_hh (0.60),women_pct (0.27),agri_worker_pct (-0.16),night_lights_log (-0.15),poverty_log (-0.14)
Haryana,Panipat,Tier II - Strong Performing Districts,women_pct (0.50),avg_days_per_hh (0.39),scst_pct (0.14),night_lights_log (-0.10),agri_worker_pct (-0.06),female_literacy_pct (-0.04)
Haryana,Rewari,Tier II - Strong Performing Districts,avg_days_per_hh (0.98),persondays_per_hh (0.52),women_pct (0.25),poverty_log (-0.53),night_lights_log (-0.16),agri_worker_pct (-0.03)
Haryana,Rohtak,Tier II - Strong Performing Districts,avg_days_per_hh (0.62),women_pct (0.47),persondays_per_hh (0.28),poverty_log (-0.19),night_lights_log (-0.16),agri_worker_pct (-0.15)
Haryana,Sirsa,Tier II - Strong Performing Districts,avg_days_per_hh (0.96),persondays_per_hh (0.52),agri_worker_pct (0.26),female_literacy_pct (-0.10),night_lights_log (-0.03),wage_timeliness_pct (0.09)
Haryana,Sonipat,Tier II - Strong Performing Districts,avg_days_per_hh (0.96),persondays_per_hh (0.48),women_pct (0.36),night_lights_log (-0.06),female_literacy_pct (-0.04),agri_worker_pct (0.04)
Haryana,Yamunanagar,Tier II - Strong Performing Districts,avg_days_per_hh (0.36),scst_pct (0.30),women_pct (0.24),female_literacy_pct (-0.06),night_lights_log (-0.05),wage_timeliness_pct (-0.05)
Himachal Pradesh,Bilaspur,Tier IV - Improvement Potential Districts,women_pct (0.49),avg_days_per_hh (0.30),persondays_per_hh (0.24),scst_pct (-0.27),poverty_log (-0.18),female_literacy_pct (-0.14)
Himachal Pradesh,Chamba,Tier I - High Impact Districts,avg_days_per_hh (1.56),persondays_per_hh (1.16),female_literacy_pct (0.42),wage_timeliness_pct (-0.04),women_pct (0.03),night_lights_log (0.05)
Himachal Pradesh,Hamirpur,Tier III - Inclusive Development Districts,women_pct (3.50),female_literacy_pct (0.53),avg_days_per_hh (0.39),night_lights_log (-0.54),agri_worker_pct (-0.22),scst_pct (0.03)
Himachal Pradesh,Kangra,Tier III - Inclusive Development Districts,women_pct (2.87),avg_days_per_hh (0.46),female_literacy_pct (0.39),night_lights_log (-0.56),agri_worker_pct (-0.27),scst_pct (-0.02)
Himachal Pradesh,Kinnaur,Tier IV - Improvement Potential Districts,agri_worker_pct (0.26),night_lights_log (0.23),avg_days_per_hh (0.21),women_pct (-0.28),poverty_log (-0.11),female_literacy_pct (-0.05)
Himachal Pradesh,Kullu,Tier IV - Improvement Potential Districts,women_pct (0.49),scst_pct (0.44),avg_days_per_hh (0.30),poverty_log (-0.22),night_lights_log (-0.10),female_literacy_pct (-0.08)
Himachal Pradesh,Lahaul And Spiti,Tier III - Inclusive Development Districts,women_pct (2.62),avg_days_per_hh (0.49),persondays_per_hh (0.19),night_lights_log (-0.70),agri_worker_pct (-0.67),wage_timeliness_pct (-0.53)
Himachal Pradesh,Mandi,Tier III - Inclusive Development Districts,women_pct (2.52),female_literacy_pct (0.26),poverty_log (0.25),agri_worker_pct (-0.78),night_lights_log (-0.57),scst_pct (-0.06)
Himachal Pradesh,Shimla,Tier II - Strong Performing Districts,avg_days_per_hh (0.83),women_pct (0.54),night_lights_log (0.32),poverty_log (-0.17),agri_worker_pct (-0.15),female_literacy_pct (-0.03)
Himachal Pradesh,Sirmaur,Tier I - High Impact Districts,persondays_per_hh (0.77),female_literacy_pct (0.63),women_pct (0.58),wage_timeliness_pct (-0.09),night_lights_log (0.02),scst_pct (0.10)
Himachal Pradesh,Solan,Tier I - High Impact Districts,poverty_log (0.63),persondays_per_hh (0.62),agri_worker_pct (0.41),wage_timeliness_pct (-0.10),night_lights_log (0.03),women_pct (0.04)
Himachal Pradesh,Una,Tier III - Inclusive Development Districts,women_pct (2.76),female_literacy_pct (0.36),poverty_log (0.29),agri_worker_pct (-0.29),avg_days_per_hh (-0.19),persondays_per_hh (0.01)
Jammu And Kashmir,Anantnag,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.40),persondays_per_hh (0.27),women_pct (0.19),poverty_log (-0.11),agri_worker_pct (-0.06),scst_pct (-0.05)
Jammu And Kashmir,Bandipora,Tier IV - Improvement Potential Districts,poverty_log (0.62),avg_days_per_hh (0.44),female_literacy_pct (0.34),agri_worker_pct (-0.06),wage_timeliness_pct (-0.01),night_lights_log (0.02)
Jammu And Kashmir,Baramulla,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.89),persondays_per_hh (0.46),poverty_log (0.10),agri_worker_pct (-0.16),scst_pct (-0.09),night_lights_log (-0.03)
Jammu And Kashmir,Budgam,Tier IV - Improvement Potential Districts,women_pct (0.54),scst_pct (0.50),female_literacy_pct (0.44),avg_days_per_hh (-0.45),persondays_per_hh (-0.43),night_lights_log (0.02)
Jammu And Kashmir,Doda,Tier I - High Impact Districts,avg_days_per_hh (1.34),persondays_per_hh (1.01),women_pct (0.37),wage_timeliness_pct (-0.84),female_literacy_pct (-0.01),agri_worker_pct (-0.01)
Jammu And Kashmir,Ganderbal,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.71),women_pct (0.24),persondays_per_hh (0.23),female_literacy_pct (-0.22),agri_worker_pct (-0.17),night_lights_log (-0.00)
Jammu And Kashmir,Jammu,Tier IV - Improvement Potential Districts,women_pct (0.41),night_lights_log (0.22),agri_worker_pct (0.19),female_literacy_pct (-0.14),scst_pct (-0.01),avg_days_per_hh (0.02)
Jammu And Kashmir,Kathua,Tier II - Strong Performing Districts,avg_days_per_hh (0.97),persondays_per_hh (0.58),women_pct (0.31),scst_pct (-0.36),agri_worker_pct (-0.19),female_literacy_pct (-0.08)
Jammu And Kashmir,Kishtwar,Tier IV - Improvement Potential Districts,female_literacy_pct (0.42),avg_days_per_hh (0.27),persondays_per_hh (0.22),scst_pct (-0.14),poverty_log (-0.01),night_lights_log (0.04)
Jammu And Kashmir,Kulgam,Tier IV - Improvement Potential Districts,scst_pct (0.62),avg_days_per_hh (0.32),persondays_per_hh (0.28),night_lights_log (-0.04),agri_worker_pct (-0.03),poverty_log (-0.01)
Jammu And Kashmir,Kupwara,Tier IV - Improvement Potential Districts,scst_pct (0.57),avg_days_per_hh (0.43),persondays_per_hh (0.31),poverty_log (-0.07),night_lights_log (-0.03),wage_timeliness_pct (0.00)
Jammu And Kashmir,Poonch,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.38),persondays_per_hh (0.28),female_literacy_pct (0.14),night_lights_log (-0.01),women_pct (0.00),agri_worker_pct (0.01)
Jammu And Kashmir,Pulwama,Tier IV - Improvement Potential Districts,scst_pct (0.56),women_pct (0.54),avg_days_per_hh (0.37),poverty_log (-0.06),night_lights_log (-0.02),wage_timeliness_pct (0.00)
Jammu And Kashmir,Rajouri,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.38),female_literacy_pct (0.36),agri_worker_pct (0.29),poverty_log (-0.13),night_lights_log (-0.01),wage_timeliness_pct (0.09)
Jammu And Kashmir,Ramban,Tier IV - Improvement Potential Districts,women_pct (0.36),avg_days_per_hh (0.29),female_literacy_pct (0.23),night_lights_log (-0.02),wage_timeliness_pct (0.05),scst_pct (0.09)
Jammu And Kashmir,Reasi,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.42),persondays_per_hh (0.29),women_pct (0.21),poverty_log (0.02),night_lights_log (0.04),agri_worker_pct (0.05)
Jammu And Kashmir,Samba,Tier II - Strong Performing Districts,avg_days_per_hh (0.68),women_pct (0.34),persondays_per_hh (0.23),poverty_log (-0.40),agri_worker_pct (-0.15),scst_pct (-0.12)
Jammu And Kashmir,Shopian,Tier IV - Improvement Potential Districts,scst_pct (0.62),women_pct (0.51),avg_days_per_hh (0.40),poverty_log (-0.04),night_lights_log (0.03),wage_timeliness_pct (0.05)
Jammu And Kashmir,Srinagar,Tier IV - Improvement Potential Districts,scst_pct (0.56),avg_days_per_hh (0.28),persondays_per_hh (0.22),poverty_log (-0.29),female_literacy_pct (-0.22),night_lights_log (-0.03)
Jammu And Kashmir,Udhampur,Tier II - Strong Performing Districts,avg_days_per_hh (0.98),persondays_per_hh (0.54),wage_timeliness_pct (0.21),scst_pct (-0.18),agri_worker_pct (-0.15),night_lights_log (-0.03)
Jharkhand,Bokaro,Tier II - Strong Performing Districts,avg_days_per_hh (0.55),women_pct (0.49),scst_pct (0.33),agri_worker_pct (-0.15),night_lights_log (-0.06),persondays_per_hh (0.01)
Jharkhand,Chatra,Tier II - Strong Performing Districts,avg_days_per_hh (0.64),female_literacy_pct (0.61),women_pct (0.47),scst_pct (-0.09),persondays_per_hh (-0.02),poverty_log (0.02)
Jharkhand,Deoghar,Tier IV - Improvement Potential Districts,poverty_log (0.43),avg_days_per_hh (0.37),persondays_per_hh (0.30),scst_pct (-0.17),agri_worker_pct (-0.06),female_literacy_pct (0.07)
Jharkhand,Dhanbad,Tier II - Strong Performing Districts,avg_days_per_hh (0.56),women_pct (0.50),scst_pct (0.35),agri_worker_pct (-0.13),night_lights_log (-0.05),female_literacy_pct (0.02)
Jharkhand,Dumka,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.39),poverty_log (0.36),persondays_per_hh (0.27),women_pct (-0.32),female_literacy_pct (-0.09),night_lights_log (-0.07)
Jharkhand,East Singhbum,Tier II - Strong Performing Districts,avg_days_per_hh (0.69),women_pct (0.42),persondays_per_hh (0.29),scst_pct (-0.22),agri_worker_pct (-0.18),female_literacy_pct (-0.15)
Jharkhand,Garhwa,Tier I - High Impact Districts,women_pct (0.58),persondays_per_hh (0.55),wage_timeliness_pct (0.21),female_literacy_pct (-0.10),avg_days_per_hh (-0.10),poverty_log (-0.10)
Jharkhand,Giridih,Tier II - Strong Performing Districts,avg_days_per_hh (0.89),women_pct (0.55),female_literacy_pct (0.27),night_lights_log (0.03),agri_worker_pct (0.04),persondays_per_hh (0.07)
Jharkhand,Godda,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.41),female_literacy_pct (0.40),persondays_per_hh (0.27),wage_timeliness_pct (-0.07),poverty_log (-0.07),scst_pct (-0.01)
Jharkhand,Gumla,Tier I - High Impact Districts,women_pct (0.62),persondays_per_hh (0.58),wage_timeliness_pct (0.27),female_literacy_pct (-0.22),poverty_log (-0.11),avg_days_per_hh (0.08)
Jharkhand,Hazaribagh,Tier II - Strong Performing Districts,avg_days_per_hh (0.55),women_pct (0.45),scst_pct (0.31),female_literacy_pct (-0.01),night_lights_log (-0.01),agri_worker_pct (-0.00)
Jharkhand,Jamtara,Tier I - High Impact Districts,persondays_per_hh (0.89),avg_days_per_hh (0.82),women_pct (0.41),female_literacy_pct (-0.13),poverty_log (-0.10),agri_worker_pct (-0.05)
Jharkhand,Khunti,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.50),women_pct (0.37),wage_timeliness_pct (0.12),agri_worker_pct (-0.14),poverty_log (-0.11),persondays_per_hh (-0.01)
Jharkhand,Koderma,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.56),women_pct (0.34),poverty_log (0.21),scst_pct (-0.13),night_lights_log (-0.04),persondays_per_hh (-0.03)
Jharkhand,Latehar,Tier IV - Improvement Potential Districts,poverty_log (0.84),avg_days_per_hh (0.36),persondays_per_hh (0.25),women_pct (-0.19),night_lights_log (-0.05),female_literacy_pct (-0.04)
Jharkhand,Lohardaga,Tier II - Strong Performing Districts,avg_days_per_hh (0.61),women_pct (0.45),persondays_per_hh (0.28),scst_pct (-0.04),night_lights_log (0.03),female_literacy_pct (0.12)
Jharkhand,Pakur,Tier IV - Improvement Potential Districts,poverty_log (0.79),avg_days_per_hh (0.36),wage_timeliness_pct (0.24),night_lights_log (-0.07),women_pct (-0.03),agri_worker_pct (0.04)
Jharkhand,Palamu,Tier II - Strong Performing Districts,avg_days_per_hh (0.76),women_pct (0.48),agri_worker_pct (0.37),scst_pct (-0.12),poverty_log (-0.06),wage_timeliness_pct (-0.06)
Jharkhand,Ramgarh,Tier I - High Impact Districts,persondays_per_hh (0.82),female_literacy_pct (0.67),women_pct (0.66),poverty_log (0.01),night_lights_log (0.01),scst_pct (0.12)
Jharkhand,Ranchi,Tier II - Strong Performing Districts,avg_days_per_hh (0.51),persondays_per_hh (0.32),scst_pct (0.22),poverty_log (-0.16),female_literacy_pct (-0.13),agri_worker_pct (-0.07)
Jharkhand,Sahebganj,Tier IV - Improvement Potential Districts,poverty_log (0.63),scst_pct (0.26),avg_days_per_hh (0.25),women_pct (-0.23),night_lights_log (-0.05),agri_worker_pct (0.05)
Jharkhand,Saraikela Kharsawan,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.40),female_literacy_pct (0.29),persondays_per_hh (0.27),wage_timeliness_pct (-0.12),agri_worker_pct (-0.06),poverty_log (-0.04)
Jharkhand,Simdega,Tier I - High Impact Districts,women_pct (0.60),persondays_per_hh (0.45),wage_timeliness_pct (0.33),poverty_log (-0.13),agri_worker_pct (-0.01),female_literacy_pct (-0.01)
Jharkhand,West Singhbhum,Tier II - Strong Performing Districts,avg_days_per_hh (0.63),women_pct (0.44),female_literacy_pct (0.39),scst_pct (-0.00),night_lights_log (0.02),wage_timeliness_pct (0.06)
Karnataka,Bagalkote,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.41),persondays_per_hh (0.31),women_pct (0.28),scst_pct (-0.28),poverty_log (-0.04),night_lights_log (-0.03)
Karnataka,Ballari,Tier I - High Impact Districts,avg_days_per_hh (1.48),persondays_per_hh (1.12),poverty_log (0.29),female_literacy_pct (-0.26),agri_worker_pct (-0.08),women_pct (-0.06)
Karnataka,Belagavi,Tier II - Strong Performing Districts,avg_days_per_hh (0.51),women_pct (0.45),agri_worker_pct (0.43),female_literacy_pct (-0.03),persondays_per_hh (-0.01),night_lights_log (0.01)
Karnataka,Bengaluru Rural,Tier I - High Impact Districts,persondays_per_hh (0.64),poverty_log (0.61),wage_timeliness_pct (0.29),night_lights_log (-0.21),women_pct (-0.09),agri_worker_pct (0.03)
Karnataka,Bengaluru Urban,Tier IV - Improvement Potential Districts,night_lights_log (0.36),avg_days_per_hh (0.27),women_pct (0.26),poverty_log (-0.11),agri_worker_pct (-0.07),scst_pct (-0.06)
Karnataka,Bidar,Tier II - Strong Performing Districts,avg_days_per_hh (0.51),poverty_log (0.41),women_pct (0.24),scst_pct (-0.07),female_literacy_pct (-0.07),persondays_per_hh (-0.02)
Karnataka,Chamarajanagar,Tier II - Strong Performing Districts,women_pct (0.53),avg_days_per_hh (0.51),persondays_per_hh (0.30),agri_worker_pct (-0.14),scst_pct (-0.03),female_literacy_pct (0.00)
Karnataka,Chikkaballapura,Tier I - High Impact Districts,avg_days_per_hh (1.29),persondays_per_hh (1.09),female_literacy_pct (0.56),wage_timeliness_pct (-0.09),agri_worker_pct (-0.08),women_pct (0.02)
Karnataka,Chikkamagaluru,Tier I - High Impact Districts,poverty_log (0.67),persondays_per_hh (0.65),avg_days_per_hh (0.20),agri_worker_pct (-0.06),women_pct (-0.01),wage_timeliness_pct (0.04)
Karnataka,Chitradurga,Tier I - High Impact Districts,female_literacy_pct (0.76),persondays_per_hh (0.59),poverty_log (0.53),agri_worker_pct (-0.11),wage_timeliness_pct (-0.09),women_pct (-0.03)
Karnataka,Dakshina Kannada,Tier I - High Impact Districts,persondays_per_hh (0.77),avg_days_per_hh (0.69),poverty_log (0.46),scst_pct (-0.16),wage_timeliness_pct (-0.08),female_literacy_pct (0.10)
Karnataka,Davanagere,Tier I - High Impact Districts,female_literacy_pct (0.72),poverty_log (0.58),persondays_per_hh (0.55),agri_worker_pct (-0.12),women_pct (-0.04),wage_timeliness_pct (-0.02)
Karnataka,Dharwad,Tier II - Strong Performing Districts,agri_worker_pct (0.47),women_pct (0.43),avg_days_per_hh (0.43),persondays_per_hh (-0.04),night_lights_log (-0.01),female_literacy_pct (-0.00)
Karnataka,Gadag,Tier II - Strong Performing Districts,women_pct (0.44),avg_days_per_hh (0.39),scst_pct (0.25),female_literacy_pct (-0.09),agri_worker_pct (-0.01),persondays_per_hh (0.00)
Karnataka,Hassan,Tier I - High Impact Districts,persondays_per_hh (0.77),avg_days_per_hh (0.73),female_literacy_pct (0.55),wage_timeliness_pct (-0.11),women_pct (0.02),agri_worker_pct (0.06)
Karnataka,Haveri,Tier I - High Impact Districts,persondays_per_hh (0.74),female_literacy_pct (0.71),women_pct (0.40),agri_worker_pct (-0.15),wage_timeliness_pct (-0.13),poverty_log (0.05)
Karnataka,Kalaburagi,Tier II - Strong Performing Districts,avg_days_per_hh (0.80),women_pct (0.43),agri_worker_pct (0.38),night_lights_log (0.03),female_literacy_pct (0.04),wage_timeliness_pct (0.08)
Karnataka,Kodagu,Tier I - High Impact Districts,poverty_log (0.73),persondays_per_hh (0.58),female_literacy_pct (0.25),wage_timeliness_pct (-0.11),women_pct (0.03),scst_pct (0.15)
Karnataka,Kolar,Tier I - High Impact Districts,persondays_per_hh (0.89),avg_days_per_hh (0.85),female_literacy_pct (0.65),night_lights_log (-0.21),wage_timeliness_pct (-0.12),agri_worker_pct (-0.03)
Karnataka,Koppal,Tier IV - Improvement Potential Districts,female_literacy_pct (0.44),avg_days_per_hh (0.36),persondays_per_hh (0.29),wage_timeliness_pct (-0.09),night_lights_log (-0.05),poverty_log (-0.00)
Karnataka,Mandya,Tier II - Strong Performing Districts,avg_days_per_hh (0.62),women_pct (0.53),persondays_per_hh (0.30),female_literacy_pct (-0.04),scst_pct (-0.04),night_lights_log (-0.01)
Karnataka,Mysuru,Tier II - Strong Performing Districts,women_pct (0.51),avg_days_per_hh (0.45),scst_pct (0.22),female_literacy_pct (-0.08),night_lights_log (-0.06),persondays_per_hh (-0.04)
Karnataka,Raichur,Tier I - High Impact Districts,avg_days_per_hh (1.29),persondays_per_hh (1.05),wage_timeliness_pct (0.34),women_pct (-0.13),female_literacy_pct (-0.02),agri_worker_pct (0.00)
Karnataka,Shivamogga,Tier II - Strong Performing Districts,avg_days_per_hh (0.93),women_pct (0.50),persondays_per_hh (0.47),female_literacy_pct (0.03),night_lights_log (0.07),wage_timeliness_pct (0.11)
Karnataka,Tumakuru,Tier I - High Impact Districts,female_literacy_pct (0.70),poverty_log (0.69),persondays_per_hh (0.59),women_pct (-0.05),agri_worker_pct (-0.05),night_lights_log (0.13)
Karnataka,Udupi,Tier III - Inclusive Development Districts,women_pct (2.95),female_literacy_pct (0.70),avg_days_per_hh (0.41),night_lights_log (-0.57),poverty_log (0.03),scst_pct (0.06)
Karnataka,Uttara Kannada,Tier II - Strong Performing Districts,avg_days_per_hh (0.94),persondays_per_hh (0.48),women_pct (0.46),female_literacy_pct (-0.07),agri_worker_pct (0.00),wage_timeliness_pct (0.06)
Karnataka,Vijayapura,Tier IV - Improvement Potential Districts,female_literacy_pct (0.60),avg_days_per_hh (0.42),persondays_per_hh (0.29),scst_pct (-0.13),night_lights_log (-0.08),women_pct (-0.06)
Karnataka,Yadgir,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.33),persondays_per_hh (0.23),scst_pct (0.22),night_lights_log (-0.05),wage_timeliness_pct (-0.05),female_literacy_pct (-0.03)
Kerala,Alappuzha,Tier III - Inclusive Development Districts,women_pct (3.86),female_literacy_pct (0.59),avg_days_per_hh (0.37),poverty_log (-0.05),agri_worker_pct (0.04),wage_timeliness_pct (0.05)
Kerala,Ernakulam,Tier III - Inclusive Development Districts,women_pct (3.91),female_literacy_pct (0.63),avg_days_per_hh (0.19),agri_worker_pct (-0.20),poverty_log (-0.03),wage_timeliness_pct (0.04)
Kerala,Idukki,Tier III - Inclusive Development Districts,women_pct (3.42),female_literacy_pct (0.83),avg_days_per_hh (0.32),night_lights_log (-0.51),poverty_log (-0.04),scst_pct (0.03)
Kerala,Kannur,Tier III - Inclusive Development Districts,women_pct (3.91),female_literacy_pct (0.77),avg_days_per_hh (0.22),night_lights_log (-0.03),poverty_log (-0.01),wage_timeliness_pct (0.04)
Kerala,Kasaragod,Tier III - Inclusive Development Districts,women_pct (3.70),female_literacy_pct (0.74),avg_days_per_hh (0.25),wage_timeliness_pct (-0.49),night_lights_log (-0.04),poverty_log (-0.00)
Kerala,Kollam,Tier III - Inclusive Development Districts,women_pct (3.87),female_literacy_pct (0.60),avg_days_per_hh (0.37),poverty_log (-0.05),wage_timeliness_pct (0.06),agri_worker_pct (0.06)
Kerala,Kottayam,Tier III - Inclusive Development Districts,women_pct (3.97),female_literacy_pct (0.76),night_lights_log (0.17),avg_days_per_hh (-0.08),poverty_log (-0.05),agri_worker_pct (0.04)
Kerala,Kozhikode,Tier III - Inclusive Development Districts,women_pct (3.89),female_literacy_pct (0.70),avg_days_per_hh (0.12),agri_worker_pct (-0.20),poverty_log (-0.03),night_lights_log (0.07)
Kerala,Malappuram,Tier III - Inclusive Development Districts,women_pct (3.95),female_literacy_pct (0.76),avg_days_per_hh (0.22),poverty_log (-0.04),wage_timeliness_pct (0.04),agri_worker_pct (0.07)
Kerala,Palakkad,Tier III - Inclusive Development Districts,women_pct (3.85),female_literacy_pct (0.64),avg_days_per_hh (0.34),poverty_log (-0.08),scst_pct (0.03),wage_timeliness_pct (0.06)
Kerala,Pathanamthitta,Tier III - Inclusive Development Districts,women_pct (3.81),female_literacy_pct (0.80),agri_worker_pct (0.15),night_lights_log (-0.41),poverty_log (-0.05),persondays_per_hh (0.05)
Kerala,Thiruvananthapuram,Tier III - Inclusive Development Districts,women_pct (3.86),female_literacy_pct (0.59),avg_days_per_hh (0.37),poverty_log (-0.05),agri_worker_pct (0.03),wage_timeliness_pct (0.06)
Kerala,Thrissur,Tier III - Inclusive Development Districts,women_pct (3.93),female_literacy_pct (0.68),night_lights_log (0.20),poverty_log (-0.04),agri_worker_pct (0.01),scst_pct (0.07)
Kerala,Wayanad,Tier III - Inclusive Development Districts,women_pct (3.75),female_literacy_pct (0.87),agri_worker_pct (0.13),night_lights_log (-0.57),avg_days_per_hh (-0.12),poverty_log (-0.07)
Ladakh,Kargil,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.40),women_pct (0.34),persondays_per_hh (0.24),wage_timeliness_pct (-0.08),agri_worker_pct (-0.06),poverty_log (-0.00)
Ladakh,Leh Ladakh,Tier IV - Improvement Potential Districts,female_literacy_pct (0.57),persondays_per_hh (0.54),poverty_log (0.53),wage_timeliness_pct (-0.93),night_lights_log (-0.39),women_pct (-0.06)
Madhya Pradesh,Alirajpur,Tier I - High Impact Districts,avg_days_per_hh (1.41),persondays_per_hh (1.15),women_pct (0.48),poverty_log (-0.23),female_literacy_pct (-0.23),scst_pct (0.09)
Madhya Pradesh,Anuppur,Tier I - High Impact Districts,female_literacy_pct (0.32),women_pct (0.28),avg_days_per_hh (0.27),poverty_log (-0.17),agri_worker_pct (-0.13),scst_pct (-0.05)
